product_title,product_id,variant_id,sku,price,product_collection,title_equals_collection,published_at,product_count_match,handle,slugified_title,handle_ok,template_suffix,product_status,Tapcart Tags OK
Ocean Mist - 3 Items,7400770928698,40853914386490,760563373491,89.95,Ocean Mist - 3 Items,true,2025-05-01T01:28:14Z,true,ocean-mist-3-items,ocean-mist-3-items,true,looks,ACTIVE,false
Feeling Fuchsia - 3 Items,7401463218234,40856717852730,760563373484,89.95,Feeling Fuchsia - 3 Items,true,2025-05-01T01:28:12Z,true,feeling-fuchsia-3-items,feeling-fuchsia-3-items,true,looks,ACTIVE,false
Lavender Dream - 3 Items,7400736751674,40853771812922,760563373477,89.95,Lavender Dream - 3 Items,true,2025-05-01T01:28:16Z,true,lavender-dream-3-items,lavender-dream-3-items,true,looks,ACTIVE,false
Black To Black - 3 Items,7400776237114,40853922381882,760563373507,89.95,Black To Black - 3 Items,true,2025-05-01T01:28:13Z,true,black-to-black-3-items,black-to-black-3-items,true,looks,ACTIVE,false
---------- Detail Product Collection info ------------
product_collection,product_name,product_type,template_suffix,options,Not Used,Not Used,product_status,product_status_ok,product_type_ok
Ocean Mist - 3 Items,Dynah Short (Granada Sky),Leggings,,Size,"","",ACTIVE,true,true
Ocean Mist - 3 Items,Tanisha Tank (White),tops,,Size,"","",ACTIVE,true,true
Ocean Mist - 3 Items,Valorie Long Bra (Granada Sky),Sports Bra,,Size,"","",ACTIVE,true,true
Feeling Fuchsia - 3 Items,Anaya 2-Fer Tank (Heather Grey),tops,,Size,"","",ACTIVE,true,true
Feeling Fuchsia - 3 Items,Jenny Capri (Cactus Flower),Leggings,,Size,"","",ACTIVE,true,true
Feeling Fuchsia - 3 Items,Willow Molded Bra (Black),Sports Bra,,Size,"","",ACTIVE,true,true
Lavender Dream - 3 Items,Anaya 2-Fer Tank (Orchid Bouquet),tops,,Size,"","",ACTIVE,true,true
Lavender Dream - 3 Items,Jenny Capri (White Hazy Glow),Leggings,,Size,"","",ACTIVE,true,true
Lavender Dream - 3 Items,Hailey Long Bra (Orchid Bouquet),Sports Bra,,Size,"","",ACTIVE,true,true
Black To Black - 3 Items,Tanisha Tank (Black),tops,,Size,"","",ACTIVE,true,true
Black To Black - 3 Items,Valorie Long Bra (Black),Sports Bra,,Size,"","",ACTIVE,true,true
Black To Black - 3 Items,Dynah Short (Black),Leggings,,Size,"","",ACTIVE,true,true
