product_title,product_id,variant_id,sku,price,product_collection,title_equals_collection,published_at,product_count_match,handle,slugified_title,handle_ok,template_suffix,product_status
A Spring Fling - 2 Items,7.37215E+12,4.1944E+13,7.19408E+11,39.95,A Spring Fling - 2 Items,TRUE,2022-05-16T15:56:33-07:00,TRUE,a-spring-fling-2-items,a-spring-fling-2-items,TRUE,,
A Spring Fling - 3 Items,7.37215E+12,4.1944E+13,7.19408E+11,44.95,A Spring Fling - 3 Items,TRUE,2022-05-16T15:56:32-07:00,TRUE,a-spring-fling-3-items,a-spring-fling-3-items,TRUE,,
A Spring Fling - 5 Items,7.37215E+12,4.1944E+13,7.19408E+11,49.95,A Spring Fling - 5 Items,TRUE,2022-05-16T15:56:30-07:00,TRUE,a-spring-fling-5-items,a-spring-fling-5-items,TRUE,,
Ellie Picks - 2 Items,6.95975E+12,4.07545E+13,79999999997,39.95,,FALSE,2021-09-02T21:55:05-07:00,FALSE,ellie-picks-2-items,ellie-picks-2-items,TRUE,,
Ellie Picks - 3 Items,6.95975E+12,4.07545E+13,79999999999,44.95,,FALSE,2021-09-02T21:55:03-07:00,FALSE,ellie-picks-3-items,ellie-picks-3-items,TRUE,,
Ellie Picks - 5 Items,6.95975E+12,4.07545E+13,79999999998,49.95,,FALSE,2021-09-02T21:54:58-07:00,FALSE,ellie-picks-5-items,ellie-picks-5-items,TRUE,,
Groovy Gal - 2 Items,7.41197E+12,4.20649E+13,7.19408E+11,39.95,Groovy Gal - 2 Items,TRUE,2022-06-13T13:21:17-07:00,TRUE,groovy-gal-2-items,groovy-gal-2-items,TRUE,current-collection-may2018,
Groovy Gal - 3 Items,7.41197E+12,4.20649E+13,7.19408E+11,44.95,Groovy Gal - 3 Items,TRUE,2022-06-13T13:21:37-07:00,TRUE,groovy-gal-3-items,groovy-gal-3-items,TRUE,current-collection-may2018,
Groovy Gal - 5 Items,7.41197E+12,4.20649E+13,7.19408E+11,49.95,Groovy Gal - 5 Items,TRUE,2022-06-13T13:22:05-07:00,TRUE,groovy-gal-5-items,groovy-gal-5-items,TRUE,current-collection-may2018,
Into The Wind - 2 Items,7.41195E+12,4.20647E+13,7.19408E+11,39.95,Into The Wind - 2 Items,TRUE,2022-06-13T12:49:15-07:00,TRUE,into-the-wind-2-items,into-the-wind-2-items,TRUE,sold-out-details,
