product_title,product_id,variant_id,sku,price,product_collection,title_equals_collection,published_at,product_count_match,handle,slugified_title,handle_ok,template_suffix,product_status
Black Tie - 2 Items,6.74423E+12,3.95445E+13,7.19408E+11,44.95,Black Tie - 2 Items,TRUE,2022-02-18T13:36:23-08:00,TRUE,black-tie-2-items,black-tie-2-items,TRUE,current-collection-may2018,
Black Tie - 3 Items,6.74423E+12,3.95445E+13,7.19408E+11,49.95,Black Tie - 3 Items,TRUE,2022-02-18T13:37:40-08:00,TRUE,black-tie-3-items,black-tie-3-items,TRUE,current-collection-may2018,
Black Tie - 5 Items,6.74423E+12,3.95445E+13,7.19408E+11,59.95,Black Tie - 5 Items,TRUE,2022-02-18T13:42:44-08:00,TRUE,black-tie-5-items,black-tie-5-items,TRUE,current-collection-may2018,
Blue Moon - 2 Items,6.97594E+12,3.9799E+13,7.19408E+11,44.95,Blue Moon - 2 Items,TRUE,2022-12-07T10:46:07-08:00,TRUE,blue-moon-2-items,blue-moon-2-items,TRUE,current-collection-may2018,
Blue Moon - 3 Items,6.97594E+12,3.9799E+13,7.19408E+11,49.95,Blue Moon - 3 Items,TRUE,2022-12-07T10:48:34-08:00,TRUE,blue-moon-3-items,blue-moon-3-items,TRUE,current-collection-may2018,
Blue Moon - 5 Items,6.97594E+12,3.9799E+13,7.19408E+11,59.95,Blue Moon - 5 Items,TRUE,2022-12-07T10:49:30-08:00,TRUE,blue-moon-5-items,blue-moon-5-items,TRUE,current-collection-may2018,
Cherry Blossom - 2 Items,6.99687E+12,3.98191E+13,7.19408E+11,44.95,Cherry Blossom - 2 Items,TRUE,2023-01-11T16:51:21-08:00,TRUE,cherry-blossom-2-items,cherry-blossom-2-items,TRUE,current-collection-may2018,
Cherry Blossom - 3 Items,6.99687E+12,3.98191E+13,7.19408E+11,49.95,Cherry Blossom - 3 Items,TRUE,2023-01-11T16:51:44-08:00,TRUE,cherry-blossom-3-items,cherry-blossom-3-items,TRUE,current-collection-may2018,
Cherry Blossom - 5 Items,6.99687E+12,3.98191E+13,7.19408E+11,59.95,Cherry Blossom - 5 Items,TRUE,2023-01-11T16:52:20-08:00,TRUE,cherry-blossom-5-items,cherry-blossom-5-items,TRUE,current-collection-may2018,
Ellie Picks - 2 Items,4.39974E+12,3.13283E+13,79999999997,44.95,Ellie Picks - 2 Items,TRUE,2020-02-17T12:37:46-08:00,FALSE,ellie-picks-2-items,ellie-picks-2-items,TRUE,current-collection-may2018,
Ellie Picks - 3 Items,4.39974E+12,3.13283E+13,79999999999,49.95,Ellie Picks - 3 Items,TRUE,2020-02-17T16:49:38-08:00,FALSE,ellie-picks-3-items,ellie-picks-3-items,TRUE,current-collection-may2018,
Ellie Picks - 5 Items,4.39974E+12,3.13283E+13,79999999998,54.95,Ellie Picks - 5 Items,TRUE,2020-02-17T16:50:53-08:00,FALSE,ellie-picks-5-items,ellie-picks-5-items,TRUE,current-collection-may2018,
Floral Flow - 2 Items,6.97612E+12,3.97992E+13,7.19408E+11,44.95,Floral Flow - 2 Items,TRUE,2022-12-07T14:35:05-08:00,TRUE,floral-flow-2-items,floral-flow-2-items,TRUE,current-collection-may2018,
Floral Flow - 3 Items,6.97612E+12,3.97992E+13,7.19408E+11,49.95,Floral Flow - 3 Items,TRUE,2022-12-07T14:36:02-08:00,TRUE,floral-flow-3-items,floral-flow-3-items,TRUE,current-collection-may2018,
Floral Flow - 5 Items,6.97612E+12,3.97992E+13,7.19408E+11,59.95,Floral Flow - 5 Items,TRUE,2022-12-07T14:37:52-08:00,TRUE,floral-flow-5-items,floral-flow-5-items,TRUE,current-collection-may2018,
Heather Weather - 2 Items,6.99687E+12,3.98191E+13,7.19408E+11,44.95,Heather Weather - 2 Items,TRUE,2023-01-11T16:58:10-08:00,TRUE,heather-weather-2-items,heather-weather-2-items,TRUE,current-collection-may2018,
